Class name,Wikipedia name,Electoral commission statistics
barking,Barking,Barking
battersea,Battersea,Battersea
beckenham,Beckenham,Beckenham
bermondsey_and_old_southwark,Bermondsey and Old Southwark,Bermondsey & Old Southwark
bethnal_green_and_bow,Bethnal Green and Bow,Bethnal Green & Bow
bexleyheath_and_crayford,Bexleyheath and Crayford,Bexleyheath & Crayford
brent_central,Brent Central,Brent Central
brent_north,Brent North,Brent North
brentford_and_isleworth,Brentford and Isleworth,Brentford & Isleworth
bromley_and_chislehurst,Bromley and Chislehurst,Bromley & Chislehurst
camberwell_and_peckham,Camberwell and Peckham,Camberwell & Peckham
carshalton_and_wallington,Carshalton and Wallington,Carshalton & Wallington
chelsea_and_fulham,Chelsea and Fulham,Chelsea & Fulham
chingford_and_woodford_green,Chingford and Woodford Green,Chingford & Woodford Green
chipping_barnet,Chipping Barnet,Chipping Barnet
cities_of_london_and_westminster,Cities of London and Westminster,Cities of London & Westminster
croydon_central,Croydon Central,Croydon Central
croydon_north,Croydon North,Croydon North
croydon_south,Croydon South,Croydon South
dagenham_and_rainham,Dagenham and Rainham,Dagenham & Rainham
dulwich_and_west_norwood,Dulwich and West Norwood,Dulwich & West Norwood
ealing_central_and_acton,Ealing Central and Acton,Ealing Central & Acton
ealing_north,Ealing North,Ealing North
ealing_southall,"Ealing, Southall","Ealing, Southall"
east_ham,East Ham,East Ham
edmonton,Edmonton,Edmonton
eltham,Eltham,Eltham
enfield_north,Enfield North,Enfield North
enfield_southgate,"Enfield, Southgate","Enfield, Southgate"
erith_and_thamesmead,Erith and Thamesmead,Erith & Thamesmead
feltham_and_heston,Feltham and Heston,Feltham & Heston
finchley_and_golders_green,Finchley and Golders Green,Finchley & Golders Green
greenwich_and_woolwich,Greenwich and Woolwich,Greenwich & Woolwich
hackney_north_and_stoke_newington,Hackney North and Stoke Newington,Hackney North & Stoke Newington
hackney_south_and_shoreditch,Hackney South and Shoreditch,Hackney South & Shoreditch
hammersmith,Hammersmith,Hammersmith
hampstead_and_kilburn,Hampstead and Kilburn,Hampstead & Kilburn
harrow_east,Harrow East,Harrow East
harrow_west,Harrow West,Harrow West
hayes_and_harlington,Hayes and Harlington,Hayes & Harlington
hendon,Hendon,Hendon
holborn_and_st_pancras,Holborn and St Pancras,Holborn & St Pancras
hornchurch_and_upminster,Hornchurch and Upminster,Hornchurch & Upminster
hornsey_and_wood_green,Hornsey and Wood Green,Hornsey & Wood Green
ilford_north,Ilford North,Ilford North
ilford_south,Ilford South,Ilford South
islington_north,Islington North,Islington North
islington_south_and_finsbury,Islington South and Finsbury,Islington South & Finsbury
kensington,Kensington,Kensington
kingston_and_surbiton,Kingston and Surbiton,Kingston & Surbiton
lewisham_east,Lewisham East,Lewisham East
lewisham_west_and_penge,Lewisham West and Penge,Lewisham West & Penge
lewisham_deptford,"Lewisham, Deptford","Lewisham, Deptford"
leyton_and_wanstead,Leyton and Wanstead,Leyton & Wanstead
mitcham_and_morden,Mitcham and Morden,Mitcham & Morden
old_bexley_and_sidcup,Old Bexley and Sidcup,Old Bexley & Sidcup
orpington,Orpington,Orpington
poplar_and_limehouse,Poplar and Limehouse,Poplar & Limehouse
putney,Putney,Putney
richmond_park,Richmond Park,Richmond Park
romford,Romford,Romford
ruislip_northwood_and_pinner,"Ruislip, Northwood and Pinner","Ruislip, Northwood & Pinner"
streatham,Streatham,Streatham
sutton_and_cheam,Sutton and Cheam,Sutton & Cheam
tooting,Tooting,Tooting
tottenham,Tottenham,Tottenham
twickenham,Twickenham,Twickenham
uxbridge_and_south_ruislip,Uxbridge and South Ruislip,Uxbridge & South Ruislip
vauxhall,Vauxhall,Vauxhall
walthamstow,Walthamstow,Walthamstow
west_ham,West Ham,West Ham
westminster_north,Westminster North,Westminster North
wimbledon,Wimbledon,Wimbledon
